year,month,hour,incident,min_delay,line,season
2023,01,14,Security,10,504,Winter
2023,01,15,Security,22,501,Winter
2023,01,15,Security,8,505,Winter
2023,01,16,Security,6,506,Winter
2023,01,16,Security,27,501,Winter
2023,01,19,Operations,5,510,Winter
2023,01,19,Diversion,42,504,Winter
2023,01,20,Operations,11,506,Winter
2023,01,22,General Delay,41,512,Winter
2023,01,22,Security,33,501,Winter
2023,01,23,Emergency Services,23,501,Winter
2023,01,00,Diversion,12,509,Winter
2023,01,04,Mechanical,9,510,Winter
2023,01,04,Security,5,512,Winter
2023,01,04,Held By,10,510,Winter
2023,01,05,General Delay,9,510,Winter
2023,01,05,General Delay,9,510,Winter
2023,01,05,General Delay,9,510,Winter
2023,01,05,General Delay,9,510,Winter
2023,01,06,Operations,9,505,Winter
2023,01,06,General Delay,9,505,Winter
2023,01,06,Operations,9,506,Winter
2023,01,07,General Delay,4,510,Winter
2023,01,07,General Delay,4,510,Winter
2023,01,07,General Delay,4,510,Winter
2023,01,07,General Delay,6,510,Winter
2023,01,07,General Delay,10,510,Winter
2023,01,08,General Delay,16,510,Winter
2023,01,08,Emergency Services,9,506,Winter
2023,01,09,General Delay,9,505,Winter
2023,01,10,Security,10,510,Winter
2023,01,12,Diversion,59,510,Winter
2023,01,12,Mechanical,10,501,Winter
2023,01,13,Operations,6,501,Winter
2023,01,14,General Delay,10,503,Winter
2023,01,15,General Delay,6,501,Winter
2023,01,15,Collision - TTC Involved,5,504,Winter
2023,01,15,Held By,51,512,Winter
2023,01,16,Held By,34,504,Winter
2023,01,16,Held By,9,506,Winter
2023,01,16,General Delay,6,501,Winter
2023,01,17,Collision - TTC Involved,6,501,Winter
2023,01,17,Operations,6,501,Winter
2023,01,17,Operations,60,504,Winter
2023,01,17,Operations,7,511,Winter
2023,01,19,Collision - TTC Involved,5,504,Winter
2023,01,22,General Delay,34,504,Winter
2023,01,23,Collision - TTC Involved,26,504,Winter
2023,01,00,General Delay,8,510,Winter
2023,01,02,Overhead,25,510,Winter
2023,01,03,General Delay,60,306,Winter
2023,01,04,Diversion,45,511,Winter
2023,01,04,Operations,44,510,Winter
2023,01,05,Held By,32,501,Winter
2023,01,05,General Delay,52,504,Winter
2023,01,05,General Delay,16,511,Winter
2023,01,05,Held By,8,511,Winter
2023,01,05,General Delay,17,501,Winter
2023,01,06,Collision - TTC Involved,10,503,Winter
2023,01,06,Held By,9,509,Winter
2023,01,06,General Delay,15,505,Winter
2023,01,06,General Delay,15,509,Winter
2023,01,06,General Delay,8,511,Winter
2023,01,06,Diversion,21,503,Winter
2023,01,07,General Delay,40,510,Winter
2023,01,07,General Delay,10,510,Winter
2023,01,07,Diversion,32,501,Winter
2023,01,08,General Delay,15,510,Winter
2023,01,08,Collision - TTC Involved,5,512,Winter
2023,01,11,Collision - TTC Involved,6,504,Winter
2023,01,11,Operations,9,506,Winter
2023,01,11,Mechanical,6,504,Winter
2023,01,13,Held By,9,505,Winter
2023,01,15,Operations,6,501,Winter
2023,01,16,General Delay,10,512,Winter
2023,01,16,Emergency Services,6,501,Winter
2023,01,16,Collision - TTC Involved,9,506,Winter
2023,01,17,Mechanical,7,501,Winter
